date;age60;reported;nowcast_est;nowcast_lwr;nowcast_upr;reported7;nowcast7_est;nowcast7_lwr;nowcast7_upr;F_est;F_lwr;F_upr
2021-09-10;ja;44;44,0;44,0;44,0;244;244,0;244,0;244,0;1,0000000000000000;1,0000000000000000;1,0000000000000000
2021-09-10;nein;40;40,0;40,0;40,0;345;345,0;345,0;345,0;1,0000000000000000;1,0000000000000000;1,0000000000000000
2021-09-09;alle;89;89,0;89,0;89,0;616;616,0;616,0;616,0;NA;NA;NA
2021-09-09;ja;40;40,0;40,0;40,0;238;238,0;238,0;238,0;1,0000000000000000;1,0000000000000000;1,0000000000000000
2021-09-09;nein;49;49,0;49,0;49,0;378;378,0;378,0;378,0;1,0000000000000000;1,0000000000000000;1,0000000000000000
2021-09-08;alle;85;85,0;85,0;85,0;623;623,0;623,0;623,0;NA;NA;NA
2021-09-08;ja;38;38,0;38,0;38,0;238;238,0;238,0;238,0;1,0000000000000000;1,0000000000000000;1,0000000000000000
2021-09-08;nein;47;47,0;47,0;47,0;385;385,0;385,0;385,0;1,0000000000000000;1,0000000000000000;1,0000000000000000
2021-09-07;alle;97;97,0;97,0;97,0;639;639,0;639,0;639,0;NA;NA;NA
2021-09-07;ja;32;32,0;32,0;32,0;234;234,0;234,0;234,0;1,0000000000000000;1,0000000000000000;1,0000000000000000
2021-09-07;nein;65;65,0;65,0;65,0;405;405,0;405,0;405,0;1,0000000000000000;1,0000000000000000;1,0000000000000000
2021-09-06;alle;93;93,0;93,0;93,0;610;610,0;610,0;610,0;NA;NA;NA
2021-09-06;ja;36;36,0;36,0;36,0;222;222,0;222,0;222,0;1,0000000000000000;1,0000000000000000;1,0000000000000000
2021-09-06;nein;57;57,0;57,0;57,0;388;388,0;388,0;388,0;1,0000000000000000;1,0000000000000000;1,0000000000000000
2021-09-05;alle;69;69,0;69,0;69,0;584;584,0;584,0;584,0;NA;NA;NA
2021-09-05;ja;30;30,0;30,0;30,0;209;209,0;209,0;209,0;1,0000000000000000;1,0000000000000000;1,0000000000000000
2021-09-05;nein;39;39,0;39,0;39,0;375;375,0;375,0;375,0;1,0000000000000000;1,0000000000000000;1,0000000000000000
2021-09-04;alle;72;72,0;72,0;72,0;571;571,0;571,0;571,0;NA;NA;NA
2021-09-04;ja;24;24,0;24,0;24,0;195;195,0;195,0;195,0;1,0000000000000000;1,0000000000000000;1,0000000000000000
2021-09-04;nein;48;48,0;48,0;48,0;376;376,0;376,0;376,0;1,0000000000000000;1,0000000000000000;1,0000000000000000
2021-09-03;alle;111;111,0;111,0;111,0;572;572,0;572,0;572,0;NA;NA;NA
2021-09-03;ja;38;38,0;38,0;38,0;197;197,0;197,0;197,0;1,0000000000000000;1,0000000000000000;1,0000000000000000
2021-09-03;nein;73;73,0;73,0;73,0;375;375,0;375,0;375,0;1,0000000000000000;1,0000000000000000;1,0000000000000000
2021-09-02;alle;96;96,0;96,0;96,0;525;525,0;525,0;525,0;NA;NA;NA
2021-09-02;ja;40;40,0;40,0;40,0;180;180,0;180,0;180,0;1,0000000000000000;1,0000000000000000;1,0000000000000000
2021-09-02;nein;56;56,0;56,0;56,0;345;345,0;345,0;345,0;1,0000000000000000;1,0000000000000000;1,0000000000000000
2021-09-01;alle;101;101,0;101,0;101,0;486;486,0;486,0;486,0;NA;NA;NA
2021-09-01;ja;34;34,0;34,0;34,0;159;159,0;159,0;159,0;1,0000000000000000;1,0000000000000000;1,0000000000000000
2021-09-01;nein;67;67,0;67,0;67,0;327;327,0;327,0;327,0;1,0000000000000000;1,0000000000000000;1,0000000000000000
